Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
June 2012 First Open Bidding Exercise,6/6/2012,2012,Cat A (Cars up to 1600cc and 97kW),668,59003,1004,647
May 2012 Second Open Bidding Exercise,23/05/2012,2012,Cat A (Cars up to 1600cc and 97kW),630,58001,945,617
May 2012 First Open Bidding Exercise,9/5/2012,2012,Cat A (Cars up to 1600cc and 97kW),641,62600,822,593
April 2012 Second Open Bidding Exercise,18/04/2012,2012,Cat A (Cars up to 1600cc and 97kW),629,64201,1011,618
April 2012 First Open Bidding Exercise,4/4/2012,2012,Cat A (Cars up to 1600cc and 97kW),637,58501,960,615
March 2012 Second Open Bidding Exercise,21/03/2012,2012,Cat A (Cars up to 1600cc and 97kW),636,56501,1067,626
March 2012 First Open Bidding Exercise,7/3/2012,2012,Cat A (Cars up to 1600cc and 97kW),667,56551,912,649
February 2012 Second Open Bidding Exercise,22/02/2012,2012,Cat A (Cars up to 1600cc and 97kW),624,57009,1017,607
February 2012 First Open Bidding Exercise,8/2/2012,2012,Cat A (Cars up to 1600cc and 97kW),619,52809,1058,571
January 2012 Second Open Bidding Exercise,18/01/2012,2012,Cat A (Cars up to 1600cc and 97kW),657,48112,903,652
January 2012 First Open Bidding Exercise,5/1/2012,2012,Cat A (Cars up to 1600cc and 97kW),554,46889,901,554
December 2011 Second Open Bidding Exercise,21/12/2011,2011,Cat A (Cars up to 1600cc and 97kW),566,50001,878,457
December 2011 First Open Bidding Exercise,7/12/2011,2011,Cat A (Cars up to 1600cc and 97kW),549,52392,781,543
November 2011 Second Open Bidding Exercise,23/11/2011,2011,Cat A (Cars up to 1600cc and 97kW),559,54887,756,541
November 2011 First Open Bidding Exercise,10/11/2011,2011,Cat A (Cars up to 1600cc and 97kW),548,55997,766,547
October 2011 Second Open Bidding Exercise,19/10/2011,2011,Cat A (Cars up to 1600cc and 97kW),565,56112,873,554
October 2011 First Open Bidding Exercise,5/10/2011,2011,Cat A (Cars up to 1600cc and 97kW),549,50289,793,549
September 2011 Second Open Bidding Exercise,21/09/2011,2011,Cat A (Cars up to 1600cc and 97kW),548,48006,951,531
September 2011 First Open Bidding Exercise,7/9/2011,2011,Cat A (Cars up to 1600cc and 97kW),548,51000,794,547
August 2011 Second Open Bidding Exercise,17/08/2011,2011,Cat A (Cars up to 1600cc and 97kW),557,49301,927,557
August 2011 First Open Bidding Exercise,3/8/2011,2011,Cat A (Cars up to 1600cc and 97kW),566,48801,1034,566
July 2011 Second Open Bidding Exercise,20/07/2011,2011,Cat A (Cars up to 1600cc and 97kW),510,56002,776,501
July 2011 First Open Bidding Exercise,6/7/2011,2011,Cat A (Cars up to 1600cc and 97kW),514,55989,839,497
June 2011 Second Open Bidding Exercise,22/06/2011,2011,Cat A (Cars up to 1600cc and 97kW),512,50244,715,512
June 2011 First Open Bidding Exercise,8/6/2011,2011,Cat A (Cars up to 1600cc and 97kW),510,53390,880,506
May 2011 Second Open Bidding Exercise,19/05/2011,2011,Cat A (Cars up to 1600cc and 97kW),523,46989,760,521
May 2011 First Open Bidding Exercise,5/5/2011,2011,Cat A (Cars up to 1600cc and 97kW),511,44790,944,511
April 2011 Second Open Bidding Exercise,20/04/2011,2011,Cat A (Cars up to 1600cc and 97kW),565,44000,964,552
April 2011 First Open Bidding Exercise,6/4/2011,2011,Cat A (Cars up to 1600cc and 97kW),512,43212,813,511
March 2011 Second Open Bidding Exercise,23/03/2011,2011,Cat A (Cars up to 1600cc and 97kW),527,43813,927,472
March 2011 First Open Bidding Exercise,9/3/2011,2011,Cat A (Cars up to 1600cc and 97kW),532,42600,875,530
February 2011 Second Open Bidding Exercise,23/02/2011,2011,Cat A (Cars up to 1600cc and 97kW),511,42999,788,494
February 2011 First Open Bidding Exercise,9/2/2011,2011,Cat A (Cars up to 1600cc and 97kW),523,37124,1146,501
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat A (Cars up to 1600cc and 97kW),607,40123,1091,606
January 2011 First Open Bidding Exercise,5/1/2011,2011,Cat A (Cars up to 1600cc and 97kW),614,38889,1192,602
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat A (Cars up to 1600cc and 97kW),617,46129,755,607
December 2010 First Open Bidding Exercise,8/12/2010,2010,Cat A (Cars up to 1600cc and 97kW),598,47604,1020,582
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat A (Cars up to 1600cc and 97kW),597,39000,833,577
November 2010 First Open Bidding Exercise,3/11/2010,2010,Cat A (Cars up to 1600cc and 97kW),598,34001,843,598
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat A (Cars up to 1600cc and 97kW),647,32415,817,647
October 2010 First Open Bidding Exercise,6/10/2010,2010,Cat A (Cars up to 1600cc and 97kW),601,33132,722,601
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat A (Cars up to 1600cc and 97kW),597,30001,993,547
September 2010 First Open Bidding Exercise,8/9/2010,2010,Cat A (Cars up to 1600cc and 97kW),631,33089,775,628
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat A (Cars up to 1600cc and 97kW),606,29000,975,606
August 2010 First Open Bidding Exercise,4/8/2010,2010,Cat A (Cars up to 1600cc and 97kW),622,32104,786,589
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat A (Cars up to 1600cc and 97kW),699,36162,967,691
July 2010 First Open Bidding Exercise,7/7/2010,2010,Cat A (Cars up to 1600cc and 97kW),700,29501,893,676
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat A (Cars up to 1600cc and 97kW),699,31510,902,697
June 2010 First Open Bidding Exercise,9/6/2010,2010,Cat A (Cars up to 1600cc and 97kW),706,30051,1107,704
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat A (Cars up to 1600cc and 97kW),699,27389,1036,697
May 2010 First Open Bidding Exercise,5/5/2010,2010,Cat A (Cars up to 1600cc and 97kW),806,26102,1294,798
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat A (Cars up to 1600cc and 97kW),706,30000,1242,704
April 2010 First Open Bidding Exercise,7/4/2010,2010,Cat A (Cars up to 1600cc and 97kW),705,34001,1379,597
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat A (Cars up to 1600cc and 97kW),"1,146",28389,2183,"1,137"
March 2010 First Open Bidding Exercise,10/3/2010,2010,Cat A (Cars up to 1600cc and 97kW),"1,148",20802,1758,"1,141"
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat A (Cars up to 1600cc and 97kW),"1,148",20340,1493,"1,148"
February 2010 First Open Bidding Exercise,3/2/2010,2010,Cat A (Cars up to 1600cc and 97kW),"1,154",19989,1326,"1,153"
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat A (Cars up to 1600cc and 97kW),"1,151",20501,1673,"1,149"
January 2010 First Open Bidding Exercise,6/1/2010,2010,Cat A (Cars up to 1600cc and 97kW),"1,152",18502,1342,"1,145"
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,150",18150,1465,"1,145"
December 2009 First Open Bidding Exercise,9/12/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,151",18502,1658,"1,146"
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,146",17189,1261,"1,142"
November 2009 First Open Bidding Exercise,4/11/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,226",16747,1395,"1,222"
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,149",18899,1544,"1,149"
October 2009 First Open Bidding Exercise,7/10/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,151",16201,1392,"1,072"
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,403",15589,1527,"1,400"
September 2009 First Open Bidding Exercise,9/9/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,395",18020,1844,"1,391"
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,395",15019,1567,"1,387"
August 2009 First Open Bidding Exercise,5/8/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,395",13658,1558,"1,395"
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,408",15291,1603,"1,408"
July 2009 First Open Bidding Exercise,8/7/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,405",14310,1655,"1,405"
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,415",12899,1735,"1,402"
June 2009 First Open Bidding Exercise,3/6/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,401",11690,1967,"1,391"
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,402",9889,1999,"1,383"
May 2009 First Open Bidding Exercise,6/5/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,396",8489,2037,"1,391"
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,396",7589,1906,"1,390"
April 2009 First Open Bidding Exercise,8/4/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,396",7090,2026,"1,396"
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,843",5116,2202,"1,843"
March 2009 First Open Bidding Exercise,4/3/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,839",4890,2376,"1,839"
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,846",4460,2722,"1,842"
February 2009 First Open Bidding Exercise,4/2/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,894",1020,2077,"1,894"
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,839",2693,2109,"1,832"
January 2009 First Open Bidding Exercise,7/1/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,839",5001,2541,"1,784"
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat A (Cars up to 1600cc and 97kW),"1,851",6200,2788,"1,851"
December 2008 First Open Bidding Exercise,3/12/2008,2008,Cat A (Cars up to 1600cc and 97kW),"1,840",7721,3149,"1,840"
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat A (Cars up to 1600cc and 97kW),"1,851",2,1852,"1,840"
November 2008 First Open Bidding Exercise,5/11/2008,2008,Cat A (Cars up to 1600cc and 97kW),"1,848",10455,2049,"1,848"
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat A (Cars up to 1600cc and 97kW),"1,846",10989,2149,"1,835"
October 2008 First Open Bidding Exercise,8/10/2008,2008,Cat A (Cars up to 1600cc and 97kW),"1,856",13801,2320,"1,848"
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,035",14100,2765,"2,029"
September 2008 First Open Bidding Exercise,3/9/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,038",9501,2172,"2,022"
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,036",13289,2318,"2,036"
August 2008 First Open Bidding Exercise,6/8/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,035",12501,2267,"2,032"
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,048",14101,2464,"2,047"
July 2008 First Open Bidding Exercise,9/7/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,036",14685,2463,"2,036"
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,037",14101,2319,"2,024"
June 2008 First Open Bidding Exercise,4/6/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,038",14590,2500,"2,038"
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,063",15701,2824,"2,062"
May 2008 First Open Bidding Exercise,7/5/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,053",11009,2211,"2,051"
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,036",15600,2197,"2,009"
April 2008 First Open Bidding Exercise,9/4/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,043",16930,2570,"2,026"
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,161",15389,2474,"2,161"
March 2008 First Open Bidding Exercise,5/3/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,171",14351,2727,"2,164"
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,291",12856,2923,"2,288"
February 2008 First Open Bidding Exercise,5/2/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,167",12002,3005,"2,155"
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,231",12001,2611,"2,098"
January 2008 First Open Bidding Exercise,9/1/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,162",14052,2553,"2,154"
January 2007 First Open Bidding Exercise,1/1/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,668",11704,3686,"2,663"
January 2007 Second Open Bidding Exercise,15/01/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,671",11881,3155,"2,670"
February 2007 First Open Bidding Exercise,1/2/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,673",11489,3005,"2,654"
February 2007 Second Open Bidding Exercise,15/02/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,670",5200,2823,"2,670"
March 2007 First Open Bidding Exercise,1/3/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,687",12602,5296,"2,680"
March 2007 Second Open Bidding Exercise,15/03/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,669",13504,4752,"2,659"
April 2007 First Open Bidding Exercise,1/4/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,165",14000,3691,"2,161"
April 2007 Second Open Bidding Exercise,15/04/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,168",14601,3327,"2,168"
May 2007 First Open Bidding Exercise,1/5/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,163",16159,3449,"2,163"
May 2007 Second Open Bidding Exercise,15/05/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,158",17010,2825,"2,147"
June 2007 First Open Bidding Exercise,1/6/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,159",16181,2441,"2,159"
June 2007 Second Open Bidding Exercise,15/06/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,169",15591,2489,"2,119"
July 2007 First Open Bidding Exercise,1/7/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,159",14801,2480,"2,150"
July 2007 Second Open Bidding Exercise,15/07/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,208",16000,2678,"2,177"
August 2007 First Open Bidding Exercise,1/8/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,168",17001,2632,"2,018"
August 2007 Second Open Bidding Exercise,15/08/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,189",8118,2315,"2,188"
September 2007 First Open Bidding Exercise,1/9/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,309",17999,3753,"2,303"
September 2007 Second Open Bidding Exercise,15/09/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,159",17941,3055,"2,159"
October 2007 First Open Bidding Exercise,1/10/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,165",16999,2604,"2,160"
October 2007 Second Open Bidding Exercise,15/10/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,158",12401,2472,"2,158"
November 2007 First Open Bidding Exercise,1/11/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,164",16839,3040,"2,149"
November 2007 Second Open Bidding Exercise,15/11/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,158",14404,2450,"2,154"
December 2007 First Open Bidding Exercise,1/12/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,174",12001,2373,"2,171"
December 2007 Second Open Bidding Exercise,15/12/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,162",14001,2588,"2,089"
January 2006 First Open Bidding Exercise,1/1/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,787",10602,3076,"2,778"
January 2006 Second Open Bidding Exercise,15/01/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,785",8009,3213,"2,783"
February 2006 First Open Bidding Exercise,1/2/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,794",10284,5517,"2,787"
February 2006 Second Open Bidding Exercise,15/02/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,787",10103,5030,"2,779"
March 2006 First Open Bidding Exercise,1/3/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,792",11199,5001,"2,786"
March 2006 Second Open Bidding Exercise,15/03/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,792",11904,4381,"2,784"
April 2006 First Open Bidding Exercise,1/4/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,222",11901,3183,"2,215"
April 2006 Second Open Bidding Exercise,15/04/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,225",11901,2762,"2,220"
May 2006 First Open Bidding Exercise,1/5/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,223",10003,2426,"2,222"
May 2006 Second Open Bidding Exercise,15/05/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,222",10100,2473,"2,222"
June 2006 First Open Bidding Exercise,1/6/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,217",11202,2688,"2,217"
June 2006 Second Open Bidding Exercise,15/06/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,217",9301,2393,"2,213"
July 2006 First Open Bidding Exercise,1/7/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,216",10201,2867,"2,210"
July 2006 Second Open Bidding Exercise,15/07/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,221",10803,2776,"2,213"
August 2006 First Open Bidding Exercise,1/8/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,222",11901,3333,"2,215"
August 2006 Second Open Bidding Exercise,15/08/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,225",12989,3398,"2,219"
September 2006 First Open Bidding Exercise,1/9/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,223",13003,2878,"2,222"
September 2006 Second Open Bidding Exercise,15/09/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,223",13102,2921,"2,223"
October 2006 First Open Bidding Exercise,1/10/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,670",12001,2953,"2,644"
October 2006 Second Open Bidding Exercise,15/10/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,669",10510,2761,"2,669"
November 2006 First Open Bidding Exercise,1/11/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,695",12979,4013,"2,693"
November 2006 Second Open Bidding Exercise,15/11/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,669",12689,3499,"2,668"
December 2006 First Open Bidding Exercise,1/12/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,670",12200,3018,"2,670"
December 2006 Second Open Bidding Exercise,15/12/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,670",9605,2886,"2,668"
January 2005 First Open Bidding Exercise,1/1/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,513",18400,2677,"2,512"
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,513",19501,3793,"2,508"
February 2005 First Open Bidding Exercise,1/2/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,514",18200,3394,"2,511"
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,518",18159,3140,"2,511"
March 2005 First Open Bidding Exercise,1/3/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,516",20654,3784,"2,509"
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,520",18901,3176,"2,449"
April 2005 First Open Bidding Exercise,1/4/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,200",18279,2685,"2,200"
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,264",18101,2563,"2,203"
May 2005 First Open Bidding Exercise,1/5/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,193",17398,2594,"2,185"
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,254",16897,2548,"2,251"
June 2005 First Open Bidding Exercise,1/6/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,201",17481,2873,"2,174"
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,196",17289,2636,"2,186"
July 2005 First Open Bidding Exercise,1/7/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,220",16112,2445,"2,218"
